timestamp,ticker,price,predicted_direction,confidence_pct,expected_move_pct,model_type,momentum,relative_volume,volume_spike,volatility,news_sentiment,news_count,rel_strength_vs_universe,universe_positive_ratio,qqq_change_pct,actual_gap_pct,actual_return_from_entry_pct,actual_best_return_pct
2026-08-11T07:20:44.244675,VREX,18.46,UP,90.3,8.05,ML,48.75,21.014,1.0,62.5,0.588,5,-1.347,1.0,-0.299,,,
2026-08-11T07:20:44.244675,SCKT,2.13,UP,89.9,7.98,ML,451.67,57.435,1.0,546.0,0.567,5,401.573,1.0,-0.299,,,
2026-08-11T07:20:44.244675,JWEL,4.0,UP,89.9,7.98,ML,158.06,61.244,1.0,193.68,0.502,1,107.963,1.0,-0.299,,,
2026-08-11T07:20:44.244675,BCARU,7.32,UP,89.9,7.98,ML,140.0,51.931,1.0,172.0,0.5,0,89.903,1.0,-0.299,,,
2026-08-11T07:21:37.981012,XHLD,3.11,UP,90.6,8.11,ML,53.96,21.243,1.0,68.75,0.701,1,3.863,1.0,-0.299,,,
2026-08-11T07:21:37.981012,VREX,18.46,UP,90.3,8.05,ML,48.75,21.014,1.0,62.5,0.588,5,-1.347,1.0,-0.299,,,
2026-08-11T07:21:37.981012,SCKT,2.13,UP,89.9,7.98,ML,451.67,57.435,1.0,546.0,0.567,5,401.573,1.0,-0.299,,,
2026-08-11T07:21:37.981012,JWEL,4.0,UP,89.9,7.98,ML,158.06,61.244,1.0,193.68,0.502,1,107.963,1.0,-0.299,,,
2026-08-11T07:21:37.981012,BCARU,7.32,UP,89.9,7.98,ML,140.0,51.931,1.0,172.0,0.5,0,89.903,1.0,-0.299,,,
2026-08-11T13:56:28.535080,ELPW,5.02,UP,83.0,6.61,ML,25.19,20.526,1.0,34.22,0.649,3,-0.305,0.983,-0.18,,,
2026-08-11T13:56:28.535080,MREO,0.35,UP,82.9,6.57,ML,27.9,33.86,1.0,37.48,0.5,5,2.405,0.983,-0.18,,,
2026-08-11T13:56:28.535080,OGI,1.17,UP,82.5,6.5,ML,10.95,30.515,1.0,17.14,0.468,5,-14.545,0.983,-0.18,,,
2026-08-11T13:56:28.535080,TAOP,0.82,UP,82.3,6.46,ML,10.36,7.29,1.0,16.44,0.5,0,-15.135,0.983,-0.18,,,
2026-08-11T13:56:28.535080,WXM,9.66,UP,81.9,6.37,ML,141.5,244.949,1.0,173.8,0.194,1,116.005,0.983,-0.18,,,
2026-08-11T14:07:54.657432,WYHG,7.66,UP,82.2,6.43,ML,33.92,7.146,1.0,44.7,0.5,2,7.093,1.0,0.16,,,
2026-08-11T14:07:54.657432,WXM,10.09,UP,81.9,6.37,ML,152.25,260.445,1.0,186.7,0.194,1,125.423,1.0,0.16,,,
2026-08-11T14:07:54.657432,FRTT,1.55,UP,81.9,6.37,ML,59.16,27.228,1.0,74.99,0.5,1,32.333,1.0,0.16,,,
2026-08-11T14:07:54.657432,RNW,6.82,UP,81.9,6.37,ML,11.17,7.528,1.0,17.41,0.633,5,-15.657,1.0,0.16,,,
2026-08-11T14:07:54.657432,ELPW,4.7,UP,81.4,6.29,ML,17.21,21.025,1.0,24.65,0.649,3,-9.617,1.0,0.16,,,
2026-08-11T14:17:22.062700,RNW,6.81,UP,82.3,6.45,ML,11.09,8.19,1.0,17.31,0.633,5,-16.838,1.0,0.11,,,
2026-08-11T14:17:22.062700,WYHG,7.84,UP,82.0,6.41,ML,37.06,7.301,1.0,48.48,0.5,2,9.132,1.0,0.11,,,
2026-08-11T14:17:22.062700,TENX,1.73,UP,81.8,6.36,ML,25.45,7.376,1.0,34.55,0.354,5,-2.478,1.0,0.11,,,
2026-08-11T14:17:22.062700,WXM,10.74,UP,81.7,6.34,ML,168.56,270.134,1.0,206.27,0.194,1,140.632,1.0,0.11,,,
2026-08-11T14:17:22.062700,FRTT,1.36,UP,81.7,6.34,ML,39.71,29.071,1.0,51.66,0.5,1,11.782,1.0,0.11,,,
2026-08-11T15:05:40.834646,WAFU,1.82,UP,82.9,6.59,ML,25.74,33.896,1.0,34.89,0.5,0,0.466,0.967,0.08,,,
2026-08-11T15:05:40.834646,GLE,0.49,UP,82.9,6.59,ML,25.57,35.461,1.0,34.68,0.479,4,0.296,0.967,0.08,,,
2026-08-11T15:05:40.834646,TENX,1.75,UP,82.7,6.54,ML,27.26,9.054,1.0,36.71,0.354,5,1.986,0.967,0.08,,,
2026-08-11T15:05:40.834646,FRTT,1.32,UP,82.0,6.41,ML,35.15,30.873,1.0,46.18,0.5,1,9.876,0.967,0.08,,,
2026-08-11T15:05:40.834646,WXM,7.97,UP,81.7,6.34,ML,99.25,301.69,1.0,123.1,0.194,1,73.976,0.967,0.08,,,
2026-08-11T16:08:16.728099,MREO,0.34,UP,90.4,8.08,ML,24.82,44.899,1.0,33.78,0.5,5,-1.107,0.95,-0.229,,,
2026-08-11T16:08:16.728099,STIM,2.85,UP,90.1,8.02,ML,31.56,10.614,1.0,41.87,0.531,5,5.633,0.95,-0.229,,,
2026-08-11T16:08:16.728099,MSGY,4.76,UP,89.9,7.98,ML,105.67,245.277,1.0,130.8,0.443,2,79.743,0.95,-0.229,,,
2026-08-11T16:08:16.728099,WXM,7.67,UP,89.9,7.98,ML,91.75,320.347,1.0,114.1,0.194,1,65.823,0.95,-0.229,,,
2026-08-11T16:08:16.728099,QMCO,17.95,UP,89.9,7.98,ML,52.38,8.856,1.0,66.85,0.532,5,26.453,0.95,-0.229,,,
